what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978834491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978862087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978876740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978882913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978892223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978900455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978974075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332978980808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979015879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979023375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979028533
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332979045190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1332979045191
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1332979051537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979051975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979053861
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332979055673
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332979055679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979072769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979072893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332979077127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979084479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979085596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979085902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979093130
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332979127100
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332979163826
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332979168146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979200383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979254863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332979441272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332984104690
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332984108782
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332984109246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1332984109246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332984142282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332985688304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332985702892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332985919368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1332985964386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332985974562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332985989722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986007274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986017299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986044590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986053851
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332986054493
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332986055610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986056835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332986062260
